"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
"Bahamas, The",12574.783,13115.519,14465.333,15695.591,16288.787,17266.629,17765.926,18565.075,19252.124,20122.285,20745.339,20202.659,19532.785,19714.31,20414.21,21313.718,22237.932,23345.1,24316.822,25998.163,27183.061,28082.331,28842.552,28602.963,29192.079,30674.949,31950.024,32817.789,32215.365,30631.959,31052.723,31568.009,32664.182,31775.412,33237.859,33724.417,34046.577,36023.401,37530.187,37481.109,28744.985,34727.426,41986.547,44896.056,46524.322,47672.847,48859.883,50028.996,51227.107,52464.41
Bahrain,20779.529,22479.725,24508.461,26350.996,27517.775,27187.357,26919.197,26310.423,27857.631,28226.03,30046.356,30501.976,32874.359,35272.156,36216.784,36708.278,37592.052,38120.012,39366.824,41208.178,43925.5,44381.211,43352.465,43674.767,44530.446,45445.248,46157.93,47444.293,48255.965,46749.12,47123.716,50673.371,54489.154,54035.418,51938.108,45626.703,44833.968,47486.023,49533.73,52127.138,50757.418,53295.778,58376.025,60569.138,62671.201,64183.084,65491.543,66863.364,68262.098,69769.423
Bangladesh,633.158,712.753,760.915,805.937,847.533,883.608,912.943,937.992,968.793,1023.892,1084.43,1141.383,1196.427,1250.334,1306.411,1367.907,1425.694,1488.717,1547.004,1614.181,1702.725,1784.385,1855.856,1952.927,2089.816,2263.87,2460.671,2659.258,2827.4,2962.766,3144.042,3378.412,3758.619,3992.985,4292.985,4564.144,4886.876,5226.652,5693.178,6048.452,6384.062,7061.27,7964.05,8663.099,9416.445,10166.052,10975.735,11843.45,12777.533,13786.476
Barbados,6000.698,6421.079,6464.346,6733.111,7208.151,7496.411,8011.933,8395.334,8963.729,9615.952,9612.679,9517.311,9147.53,9406.776,9765.436,10135.642,10690.92,11347.978,11860.114,12023.517,12799.392,12738.201,13000.412,13506.107,14021.478,14984.179,16260.735,17000.358,17375.192,16526.389,16280.321,16443.728,15425.335,15432.544,15252.122,15603.272,16006.122,15828.663,16041.283,16323.353,14399.85,14823.066,18010.639,19439.193,20592.402,21487.91,22339.757,23158.102,24006.904,24891.798
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5269.509,5379.733,4963.399,4684.33,4229.548,3858.813,4052.467,4615.979,5086.107,5344.89,5797.605,6246.206,6706.056,7370.826,8492.59,9652.474,11012.445,12344.171,13917.679,14061.565,15376.89,16563.201,18105.287,18994.19,19008.061,18095.665,17785.943,18356.101,19407.255,20058.884,20272.711,21899.949,22521.041,24369.938,25685.299,26571.527,27569.128,28589.178,29641.131,30683.316
Belgium,10769.319,11745.455,12556.633,13084.474,13898.128,14567.495,15129.864,15853.02,17168.183,18363.863,19608.979,20562.828,21278.747,21474.284,22568.199,23521.075,24238.347,25523.26,26259.541,27516.608,29113.605,30025.183,30872.938,31667.558,33548.891,35236.866,37018.133,39146.686,39769.944,38892.173,40168.143,41082.422,42409.301,43755.157,45043.18,46365.188,48679.68,50726.554,52601.728,54411.517,51926.428,57865.465,63458.764,66021.367,68078.977,69885.662,71882.875,73881.679,76037.66,78212.718
Belize,1825.494,1998.495,1925.884,2064.894,2318.526,2294.066,2440.034,2972.311,3344.636,3910.935,4385.545,4923.395,5500.182,5808.731,5773.169,5781.241,5802.208,5901.383,5978.859,6483.664,7292.722,7637.323,7950.351,8641.117,9050.802,9311.703,9761.955,10089.14,9860.702,9617.805,9629.937,9515.096,8997.243,9145.157,9023.146,9038.878,8832.965,8499.772,8608.52,8842.48,7490.902,9046.724,10254.126,10907.518,11320.347,11579.772,11859.186,12145.78,12439.55,12742.974
Benin,955.191,1030.008,1078.901,1064.121,1073.138,1117.996,1135.485,1105.195,1146.241,1124.035,1231.819,1287.271,1314.634,1362.33,1367.48,1450.401,1501.744,1568.924,1600.013,1642.381,1724.76,1802.524,1858.89,1902.64,1979.522,2011.629,2090.492,2211.157,2295.439,2294.62,2303.014,2350.356,2427.433,2590.925,2745.859,2792.61,2901.265,2933.837,3109.811,3282.943,3357.959,3660.783,4048.621,4315.197,4557.893,4782.871,5023.436,5280.143,5548.421,5828.315
Bhutan,536.479,649.732,727.543,793.264,863.155,903.42,964.08,1147.519,1324.816,1426.18,1596.09,1734.1,1834.567,1971.609,2086.804,2272.101,2432.738,2571.788,2689.845,2841.407,3024.62,3213.581,3472.459,3793.17,4072.04,4375.828,4708.674,5303.639,5867.88,6189.873,6800.167,7542.766,8282.34,8598.191,9084.413,9947.678,10821.146,11565.771,12180.549,12906.922,12631.734,12653.197,14061.362,15104.246,15977.935,16903.777,17940.587,18750.131,19659.484,20857.514
Bolivia,2069.854,2099.123,2097.267,2048.536,2074.901,2061.595,2007.074,2064.386,2154.397,2276.22,2420.351,2580.138,2627.539,2726.719,2833.932,2969.522,3094.138,3239.037,3373.572,3370.219,3429.356,3499.202,3575.312,3677.504,3864.589,4089.857,4342.941,4586.058,4880.05,4992.712,5177.992,5472.555,5937.484,6645.213,7080.98,7160.045,7528.313,8456.073,8887.583,9108.233,8306.266,9085.212,9940.738,10412.664,10693.376,10978.492,11263.79,11568.227,11881.131,12204.94
