"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Equatorial Guinea,350.541,383.696,386.927,390.17,379.823,416.749,396.317,408.776,421.306,420.111,433.584,428.826,564.732,617.609,711.818,887.112,1328.873,3225.049,3912.287,4817.132,9958.385,15646.609,18247.523,20432.831,26218.848,28005.395,29391.402,33243.767,38118.514,37129.013,32715.38,34023.849,37302.871,34530.773,33482.867,23902.973,20353.109,22449.899,20774.801,19287.23,17995.403,18154.733,19448.577,18394.953,18378.169,17340.021,16634.678,16762.081,16613.216,16980.224
Eritrea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,750.243,874.319,1090.01,1145.964,1278.194,1403.593,1440.051,1442.88,1262.23,1354.599,1356.453,1284.379,1279.521,1302.384,1288.074,1306.477,1049.712,1163.176,1284.496,1625.492,1669.213,1506.534,1991.679,1589.081,1700.785,1537.449,1757.029,1831.711,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7474.079,7682.936,8172.863,8863.701,10310.161,10983.523,11058.979,12390.269,13515.679,14748.257,16284.36,17967.087,20412.274,23233.207,25788.631,25003.415,21518.72,22363.563,24557.244,25996.085,27464.524,28927.856,29183.777,31309.606,33903.126,35867.098,37799.489,37854.044,42414.681,44591.69,44268.651,45122.366,46967.594,48868.013,50815.001,52897.661,55105.438
Eswatini,1780.39,2013.066,2094.425,2090.511,2143.671,2177.156,2544.486,2772.768,2987.557,3291.626,3642.329,3728.254,3837.615,3956.073,4046.768,4241.206,4396.235,4525.075,4650.722,4810.244,4959.349,5077.393,5333.122,5598.434,5904.012,6397.195,6928.198,7366.772,7515.195,7624.306,7952.182,8239.445,8450.022,8901.07,8997.305,9023.533,8932.236,8650.839,8970.816,9275.136,9153.11,10483.305,11155.509,12026.886,12637.334,13139.761,13668.665,14224.737,14761.362,15287.678
Ethiopia,323.517,345.786,360.396,391.515,383.682,339.476,367.877,415.729,419.121,419.595,431.992,400.566,360.71,404.743,414.057,434.813,487.956,496.119,467.637,490.676,536.626,574.38,577.62,562.041,628.344,711.21,796.739,884.617,969.726,1046.079,1141.35,1267.527,1360.739,1443.802,1706.749,1875.635,2134.337,2302.935,2481.352,2691.816,2831.637,3079.063,3431.899,3753.622,4019.496,4287.299,4586.988,4912.369,5270.524,5657.368
Fiji,2696.513,3054.32,3125.808,3034.291,3388.706,3311.868,3568.397,3380.29,3616.479,4196.502,4568.964,4559.152,4908.179,5114.494,5447.171,5671.579,5995.524,5898.828,5977.961,6534.078,6530.352,6780.671,7057.554,7200.863,7746.188,7835.533,8200.47,8271.208,8507.999,8385.861,8694.34,9066.131,9668.398,10397.032,11380.505,12427.301,12647.453,13316.586,14056.606,14124.838,11801.913,11670.544,14903.323,16589.705,17403.393,18199.454,19066.824,19947.924,20868.515,21805.624
Finland,9544.886,10546.674,11485.666,12232.92,13006.092,13824.098,14436.984,15274.721,16593.759,18064.048,18704.101,18110.803,17804.528,18012.791,19040.323,20176.406,21224.035,22888.322,24337.398,25701.322,27738.272,29047.818,29923.204,31057.265,33080.147,34952.864,37346.585,40227.527,41140.492,37867.35,39363.083,41015.786,40969.209,41587.16,41835.88,42569.551,44995.383,47621.51,49179.73,50573.533,49967.886,53659.584,58053.12,59425.181,60851.288,62985.133,65369.777,67727.929,70151.232,72628.827
France,10758.215,11836.481,12810.134,13399.267,14030.164,14638.716,15212.444,15911.121,17165.876,18513.467,19660.56,20443.341,21143.262,21411.336,22308.161,23180.123,23862.27,24763.891,25859.513,27031.058,28551.517,29568.37,30155.491,30789.388,32295.109,33607.501,35240.155,36835.264,37434.839,36389.701,37370.793,38789.621,39036.959,40951.527,41576.105,42289.109,44421.744,46369.701,48163.891,49681.268,46418.737,51429.496,56255.13,58646.98,60338.933,62114.786,64098.216,66079.742,68111.393,70148.662
Gabon,8862.651,9112.65,9855.664,10221.622,10870.336,11609.093,11344.545,9623.6,10089.715,11842.782,12640.48,13434.878,12913.356,13415.887,13864.502,14496.796,14924.249,15661.245,15988.362,14404.391,14100.756,14368.969,14262.939,14431.132,14619.62,14594.622,14397.692,15266.256,15250.416,14445.808,14969.363,15762.728,15487.112,15234.598,15499.573,14834.214,14490.228,15302.638,15581.1,16229.779,15936.362,16698.386,18190.841,18861.779,19452.366,19894.914,20361.575,20835.864,21315.397,21822.005
"Gambia, The",1204.566,1123.598,1389.292,1575.835,1449.036,1488.528,1493.314,1511.358,1528.768,1592.403,1677.484,1702.121,1701.999,1709.06,1629.774,1667.21,1696.183,1673.982,1748.088,1828.65,1912.635,2003.78,1906.895,2012.763,2143.611,2092.811,2081.058,2137.476,2247.2,2341.105,2435.503,2215.751,2199.788,2121.486,2027.031,2066.859,2068.743,2072.652,2207.505,2314.494,2290.103,2447.497,2668.1,2833.816,2992.822,3127.882,3249.127,3375.248,3506.257,3643.082
Georgia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4164.191,2340.707,1732.637,1719.36,1872.292,2184.663,2547.059,2730.311,2913.185,3091.014,3380.113,3658.428,4196.91,4592.077,5217.617,5929.091,6882.823,7231.978,7045,7684.254,8525.017,10039.617,10811.773,11806.082,12318.769,13112.008,13788.398,14946.453,16041.235,15257.588,17600.234,21130.827,23236.838,25248.121,27132.399,29047.567,31150.123,33317.4,35642.601
Germany,11130.82,12174.43,12834.005,13591.31,14538.529,15364.988,16042.2,16678.288,17803.042,19034.92,20484.734,21953.956,22735.626,22919.984,23911.733,24740.097,25349.207,26232.569,27084.639,27994.325,29447.337,30595.5,30985.365,31386.327,32649.004,33967.044,36422.938,38611.38,39845.176,37939.462,40106.53,42541.246,43359.405,44993.528,47011.283,47622.187,50574.22,53373.918,54968.445,56361.977,54874.622,59184.261,64030.984,65584.379,67244.697,69345.004,71713.772,73931.598,76015.04,78049.174
Ghana,1201.338,1235.959,1174.886,1117.608,1184.614,1272.158,1347.364,1439.466,1550.459,1645.701,1727.67,1827.678,1907.021,1996.949,2060.78,2140.339,2228.136,2339.617,2423.776,2506.581,2464.307,2550.775,2643.815,2766.035,2923.738,3127.204,3331.77,3480.08,3780.043,3930.985,4071.829,4622.73,5152.382,5320.541,5595.442,5232.679,5020.641,5148.047,5476.125,5809.757,5799.39,6248.232,6746.216,6971.875,7155.551,7411.41,7726.948,8060.472,8408.56,8773.435
Greece,8785.138,9352.859,9761.159,9969.372,10482.087,11032.35,11278.744,11256.419,12116.008,13014.577,13417.916,14090.693,14380.042,14396.852,14914.124,15478.493,16132.839,17080.902,17838.275,18551.958,19664.901,20821.814,21869.368,23533.938,25332.73,26212.865,28458.307,30100.62,30508.742,29287.19,27957.497,25628.831,24818.107,25895.955,26541.279,26675.987,27489.207,28518.225,29732.846,30847.723,28359.17,32265.093,37218.893,39394.857,41187.696,42745.613,44360.796,45866.561,47419.18,49004.648
Grenada,2157.998,2352.945,2530.519,2634.568,2767.157,2980.763,3257.024,3668.331,3960.198,4322.772,4704.04,4925.502,4960.864,4924.719,5065.036,5235.191,5525.354,5864.181,6600.697,7133.04,7633.528,7617.404,7971.29,8866.53,9016.279,10501.888,10365.751,11272.218,11568.1,10835.806,10866.228,11116.743,11163.804,11887.335,13042.04,14151.894,15025.684,16217.5,17223.207,17543.733,15259.671,16619.912,18997.749,20535.067,21799.014,22892.432,23907.791,24902.092,25939.004,27025.271
Guatemala,2661.209,2859.05,2855.59,2820.373,2863.701,2863.059,2850.555,2950.437,3095.033,3261.74,3405.183,3542.063,3701.503,3827.335,3952.971,4117.81,4214.175,4363.839,4513.947,4641.433,4755.185,4897.886,5044.857,5153.083,5331.26,5548.876,5890.707,6291.32,6478.961,6408.253,6529.911,6794.298,7017.665,7183.099,7457.902,7849.062,7847.231,7915.054,8210.625,8519.095,8318.849,9212.191,10066.875,10587.193,11005.594,11390.684,11804.468,12239.169,12701.218,13183.847
Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,930.583,934.602,931.114,944.915,953.219,976.747,1005.945,1050.144,1079.726,1117.755,1152.233,1200.791,1261.109,1279.595,1319.656,1373.037,1417.757,1512.703,1564.03,1508.734,1550.111,1628.172,1615.263,1679.881,1670.741,1684.808,1928.285,2249.556,2387.71,2501.616,2589.164,2789.318,3028.585,3236.969,3365.935,3528.906,3709.537,3892.883,4088.08,4293.834
Guinea-Bissau,561.783,599.29,649.41,638.487,683.561,720.372,712.563,756.364,782.75,820.675,872.71,946.642,976.032,999.293,1027.759,1067.628,1103.491,1164.226,893.566,1036.145,1048.694,1100.052,1133.733,1128.672,1147.953,1234.906,1279.109,1318.512,1374.172,1384.969,1469.24,1585.903,1512.939,1530.465,1575.757,1873.62,1976.07,2253.422,2340.261,2433.096,2448.34,2665.828,2908.702,3075.872,3238.593,3389.826,3553.81,3725.8,3889.151,4062.043
Guyana,2468.585,2711.852,2625.261,2421.548,2574.813,2682.5,2751.441,2841.794,2791.022,2791.235,2831.94,3112.797,3429.772,3789.521,4181.298,4460.077,4882.906,5245.56,5192.747,5401.465,5434.814,5673.908,5828.756,5909.605,6166.673,6233.728,6741.758,7390.658,7661.394,7932.651,8357.744,8958.292,10443.668,10998.334,10942.789,11204.623,11268.43,11964.644,12710.904,13575.353,19676.049,24632.3,42661.874,58616.545,80137.347,96524.407,118696.706,145963.671,168274.377,191374.33
Haiti,1685.683,1831.546,1857.013,1867.223,1904.205,1944.218,1953.509,1957.896,2014.352,2028.352,2052.795,2109.892,2068.901,1973.042,1743.625,1919.521,1998.005,2049.269,2079.451,2127.95,2157.547,2162.38,2183.783,2268.365,2262.7,2367.102,2443.002,2584.357,2659.942,2787.923,2619.574,2765.212,2719.388,2902.474,2911.207,2841.174,3017.761,3079.714,3156.003,3109.617,3002.49,3041.501,3158.562,3170.197,3107.617,3167.43,3232.222,3298.459,3366.12,3435.856
Honduras,1388.098,1454.31,1466.674,1491.66,1593.865,1684.543,1757.345,1864.497,1906.736,1978.192,2050.051,1991.457,2100.374,2226.261,2215.158,2334.243,2353.113,2432.983,2477.078,2424.752,2588.705,2647.638,2718.322,2825.832,3007.898,3212.291,3447.775,3676.422,3821.438,3673.334,3779.415,3928.268,4032.581,4142.24,4452.583,4823.389,5146.017,5557.931,5801.924,5951.277,5394.532,6239.426,6825.825,7195.837,7502.884,7784.051,8090.005,8419.63,8759.488,9118.397
Hong Kong SAR,7130.991,8325.772,8957.089,9701.665,10892.541,11174.3,12516.448,14416.331,16034.296,16879.089,18100.919,19564.871,20997.338,22407.759,23786.665,24264.249,24977.544,26498.71,24964.677,25740.661,28028.983,28740.308,29690.331,31024.686,34459.994,37942.557,41460.107,45113.496,46789.109,45706.685,49002.938,51998.781,52082.354,53453.568,54604.905,56266.944,56903.213,59667.887,62161.208,61876.524,59330.47,66280.702,67685.768,71809.762,75127.741,78084.627,81153.192,84338.907,87621.823,91054.45
Hungary,6327.187,7127.007,7790.23,8171.585,8717.116,9005.248,9361.961,10030.735,10422.42,10955.577,11017.189,10036.969,9950.674,10136.24,10673.277,11188.336,11420.248,12005.585,12639.775,13247.088,14196.891,15140.554,16144.426,17189.652,18581.072,20024.291,21501.072,22169.046,22870.679,21523.447,22056.88,22996.531,23240.184,24508.545,25664.134,26770.766,27893.694,29832.941,32218.508,34370.382,33256.604,37394.284,42030.61,43567.204,45691.534,48178.614,50586.177,53217.911,56100.03,59145.578
Iceland,10927.823,12342.52,13222.939,13253.633,14126.349,14915.907,16063.716,17725.615,18082.151,18513.882,19288.476,19734.445,19213.272,19725.036,20662.391,20968.768,22246.248,23766.027,25565.174,26644.496,28264.294,29603.186,29892.385,30931.023,33993.618,36825.744,39509.669,42898.018,43587.348,39999.484,39553.983,41009.124,42154.444,44672.803,46239.206,49470.734,53942.986,56944.804,59326.099,59974.584,55439.8,60197.025,68767.743,71969.224,73783.627,75347.17,77173.45,79153.878,81371.043,83630.595
India,581.654,659.742,708.651,772.435,812.299,862.405,901.418,939.383,1043.108,1123.837,1204.347,1232.068,1301.947,1367.822,1460.249,1572.155,1688.531,1753.237,1847.385,2001.886,2087.485,2197.354,2275.59,2460.132,2681.209,2936.898,3222.02,3510.97,3636.961,3892.56,4216.181,4467.467,4827.944,5016.928,5187.256,5412.335,5778.27,6112.066,6583.59,6882.332,6507.86,7406.466,8424.352,9339.349,10122.951,10869.616,11689.257,12575.565,13533.785,14572.987
Indonesia,1286.298,1485.7,1581.679,1679.337,1835.456,1929.313,2068.747,2215.547,2406.194,2674.844,2966.12,3285.738,3521.422,3828.193,4136.156,4495.44,4879.279,5137.356,4461.621,4508.48,4784.887,4999.587,5231.132,5510.821,5860.126,6298.124,6753.185,7272.533,7852.282,8155.872,8657.998,9213.212,9833.69,10188.332,10398.96,10359.28,10618.699,11073.521,11786.743,12456.443,12209.657,13142.864,14674.17,15828.643,16861.173,17867.133,18960.368,20126.16,21372.379,22706.646
Iran,5750.951,5713.243,7191.148,7989.155,7397.659,7481.856,6626.916,6616.593,6278.773,6758.709,7773.557,8840.873,9205.545,9150.717,9054.627,9329.504,9957.606,10108.053,10291.201,10531.74,11219.865,11552.5,12472.62,13477.34,14222.295,14908.222,15883.181,17388.453,17587.371,17646.956,18652.142,19282.626,17040.699,16238.317,16106.084,14327.839,15281.918,15805.787,15674.644,15264.088,15797.581,17137.867,18848.819,20253.297,21219.523,22032.182,22835.308,23576.417,24258.315,24965.846
Iraq,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6265.54,9604.673,9812.989,10424.351,10652.186,11475.565,11646.308,12218.838,13075.221,14843.033,15414.282,14027.484,10493.948,9597.761,10916.391,11389.673,11893.247,10329.074,10695.3,11937.388,11796.562,11937.032,12468.72,12848.035,13212.047,13587.188,13975.943
Ireland,7362.897,8160.256,8701.513,8914.814,9465.023,9923.553,10164.537,10777.706,11543.73,12746.443,14258.101,14897.77,15654.825,16306.781,17578.585,19584.681,21607.655,24088.759,26216.98,29057.944,32044.639,33972.302,35911.331,37114.139,39920.249,42497.506,44705.904,47006,45043.854,42717.302,43762.277,45072.58,46230.701,47727.674,51132.925,69056.863,71163.557,78202.024,85698.451,90570.993,96991.854,115726.587,132219.1,130915.195,133895.315,138081.418,142641.311,147366.316,152256.908,157504.498
Israel,7264.395,8268.039,8746.993,9130.625,9546.056,10106.663,10512.802,11394.465,12016.47,12450.478,13353.479,13599.528,14389.302,14892.165,15867.354,17292.412,18182.817,18723.81,19229.119,19654.759,21248.589,21255.353,21131.838,21470.874,22676.093,23948.136,25603.222,27396.898,28327.842,28142.358,29541.039,31244.511,32414.665,34743.638,34729.344,35795.29,38093.969,39421.367,41165.254,42617.019,41793.3,47013.157,52548.429,54385.257,55532.543,58466.956,60264.78,62304.052,64511.322,66807.865
Italy,10896.105,11760.939,12529.417,13163.208,14077.723,14923.119,15656.331,16557.427,17855.608,19171.089,20280.601,21248.775,21903.219,22212.217,23165.923,24333.529,25075.651,25960.242,26714.199,27530.31,29212.664,30433.453,30967.163,31515.487,32581.11,33625.237,35134.797,36484.505,36523.06,34562.306,35420.926,36250.645,36143.031,36288.529,36460.748,37175.638,40230.689,42111.532,43568.525,44604.038,41258.179,47055.506,52559.153,55144.154,56905.188,58408.911,59716.695,61165.995,62936.427,64831.658
Jamaica,2911.41,3269.15,3518.223,3733.108,3895.8,3923.317,4244.311,4650.569,4595.251,4990.143,5335.394,5525.435,5765.097,5982.614,6170.596,6400.531,6472.148,6413.242,6344.445,6435.235,6571.382,6746.022,6857.522,7223.288,7488.762,7764.817,8207.086,8520.905,8583.542,8312.609,8263.839,8531.299,8586.347,8895.191,9046.918,9346.692,9817.681,10286.743,10694.673,10967.207,9998.297,10925.44,12291.316,13004.809,13542.78,14000.028,14475.625,14967.92,15477.266,16007.148
Japan,9131.544,10345.73,11266.002,12048.78,12949.674,13961.222,14633.304,15617.83,17172.881,18652.292,20219.659,21554.511,22165.831,22514.056,23179.507,24226.133,25387.17,26016.31,25905.096,26134.627,27412.623,28071.449,28459.658,29412.993,30839.996,32376.401,33834.387,35263.664,35521.037,33742.805,35540.267,36215.062,37628.742,39436.811,39604.122,40959.272,40640.541,41408.954,42714.554,43350.974,42226.323,45416.041,49210.587,52214.642,54183.896,55970.397,57778.421,59538.752,61354.804,63170.859
Jordan,3846.404,4652.397,5012.035,5051.785,5279.128,5148.862,5316.306,5345.283,5436.824,4813.213,4673.782,4327.847,4904.383,4971.023,5078.937,5272.164,5292.724,5437.912,5545.591,5681.341,5927.881,6231.609,6601.657,6843.466,7420.314,8113.896,8483.243,8862.203,9466.692,9785.799,9913.58,10133.774,10308.044,10320.797,9457.598,9237.72,9056.91,9629.106,9804.078,9916.799,9727.788,10338.042,11196.423,11852.513,12401.617,12934.025,13487.164,14044.822,14614.399,15198.765
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7052.775,6613.24,6315.86,5966.409,6183.019,6519.707,6568.444,6865.9,7718.858,8973.372,10005.381,11114.351,12422.089,13930.194,15729.029,17392.968,18091.332,17941.858,19211.897,20779.444,22032.178,24504.771,24726.471,23224.116,23818.825,24862.969,26129.405,27407.904,26698.751,28692.55,30701.603,33063.603,34533.902,36742.232,37846.067,39599.962,40880.62,42231.288
Kenya,1116.546,1226.525,1320.151,1345.916,1369.841,1423.526,1505.282,1575.091,1671.456,1756.702,1846.022,1874.382,1839.661,1826.829,1859.07,1925.074,1985.829,1975.788,1998.377,2006.275,2003.006,2073.371,2061.306,2103.125,2197.96,2331.516,2478.134,2643.463,2627.058,2658.239,2839.575,2977.165,3107,3405.896,3698.162,4072.47,4352.514,4649.975,4917.903,5123.676,5050.142,5574.156,6145.461,6603.011,6976.134,7349.567,7751.893,8180.37,8632.944,9110.01
Kiribati,932.98,1062.657,1068.748,1025.938,1187.321,1031.784,1001.413,1013.98,1249.718,1174.461,1112.609,1069.959,1337.418,1348.413,1385.551,1433.035,1434.118,1451.323,1507.182,1444.107,1550.015,1507.433,1525.039,1503.075,1506.458,1545.43,1649.203,1708.426,1653.354,1636.832,1641.291,1706.999,1815.416,1962.802,1995.537,2211.373,2352.164,2444.097,2545.46,2629.681,2606.815,2911.103,3185.679,3387.566,3613.66,3771.017,3906.215,4015.363,4113.775,4215.297
"Korea, Republic of",2169.456,2507.36,2840.052,3297.065,3730.199,4109.149,4620.515,5285.159,6067.754,6685.237,7545.773,8556.684,9198.094,9961.972,11006.462,12194.293,13270.349,14198.391,13523.518,15179.277,16788.673,17862.114,19428.402,20329.854,21874.664,23482.81,25347.853,27405.67,28557.584,28812.806,30992.681,32546.752,33557.124,34244.314,35324.502,37907.502,39567.018,41001.067,42972.99,44519.668,44725.86,48853.029,53759.583,56551.833,59329.632,61847.477,64469.932,67152.352,69915.907,72765.665
Kosovo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5005.584,5351.322,5272.345,5420.044,5277.246,5618.517,5915.868,6489.355,6652.059,6918.451,7234.856,7828.578,8001.615,8371.768,8686.965,9444.731,9974.216,10392.703,11010.244,11816.795,11232.104,13224.484,14753.788,15788.314,16775.149,17745.043,18775.197,19846.753,20979.885,21962.634
Kuwait,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,50724.413,50598.439,49071.446,47025.319,46478.367,47386.513,47530.524,51751.889,50920.777,50831.196,57788.633,60502.26,63538.594,66177.321,67451.065,69591.934,64262.277,61778.765,66969.985,72412.022,69420.99,63213.855,42735.81,40083.861,45834.153,46766.239,46646.106,45779.715,47736.78,53170.918,52823.157,52274.382,54136.619,55420.274,56792.88,58207.414,59675.853
Kyrgyz Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2072.896,1815.297,1480.311,1423.103,1527.876,1684.488,1713.492,1773.433,1885.434,2010.957,2022.911,2187.979,2376.234,2416.547,2542.092,2802.485,3048.411,3120.898,3103.289,3319.628,3654.196,4083.205,4325.505,4259.042,4727.851,5094.365,5290.916,5510.918,5082.585,5492.434,6122.185,6481.606,6789.782,7049.535,7319.63,7593.19,7881.258,8187.543
Lao P.D.R.,530.075,656.613,713.623,744.627,799.474,875.855,910.964,898.983,885.705,983.301,1048.688,1095.151,1164.433,1227.036,1319.763,1406.729,1495.868,1591.612,1647.545,1707.846,1827.735,1926.554,2057.498,2195.276,2383.18,2590.404,2863.57,3122.322,3378.558,3594.919,3872.255,4205.988,4793.833,5241.846,5828.375,6126.419,6798.367,7208.633,7719.377,8092.165,8043.639,8463.68,9199.304,9750.167,10241.71,10694.262,11194.614,11741.179,12342.932,13002.966
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5996.463,5455.15,5783.54,6074.881,6425.993,7186.091,7804.288,8205.883,8933.341,9829.025,10838.641,12095.96,13585.317,15698.171,18297.309,20839.465,20710.452,18105.991,17859.047,19110.296,21181.264,22514.025,23724.256,24871.74,26591.257,28571.463,30639.497,31572.042,31063.826,34939.822,38863.452,40002.277,41730.349,43587.207,45603.349,47715.816,49928.512,52255.685
Lebanon,6345.088,6969.129,4656.218,5901.317,8780.386,11199.968,10616.035,12665.359,9354.616,5533.386,4834.213,6626.328,6726.43,6981.996,7347.805,7705.855,7977.77,8825.538,9184.709,9106.408,9182.339,9392.956,9412.312,9302.698,9862.519,9960.944,10293.561,11538.549,12834.246,14092.152,14965.373,14669.381,14813.06,14967.499,15017.443,15064.644,15462.429,15953.625,15918.025,15074.131,11366.494,10858.851,11783.681,no data,no data,no data,no data,no data,no data,no data
Lesotho,460.825,506.565,553.5,577.801,638.932,663.006,684.706,688.269,748.221,801.039,860.317,943.426,984.497,1023.175,1076.813,1088.494,1170.648,1228.824,1258.23,1293.393,1373.921,1450.048,1507.046,1600.801,1676.566,1785.279,1916.169,2037.012,2139.877,2146.377,2267.952,2415.582,2454.056,2748.731,2992.192,3204.312,3082.803,2831.961,2833.965,2774.685,2644.407,2779.008,2986.103,3115.311,3227.215,3326.593,3429.87,3525.823,3624.195,3725.307
Liberia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,909.542,921.382,954.226,679.444,711.773,757.281,818.597,914.409,948.908,965.269,1002.469,1067.375,1153.931,1329.368,1358.242,1257.511,1369.793,1531.993,1548.03,1497.742,1437.271,1541.317,1688.46,1787.422,1882.432,1988.49,2103.134,2226.161,2375.815,2513.232
Libya,32746.583,27399.543,28203.847,26801.246,24407.057,25472.482,22173.058,18586.693,18348.202,19551.756,22329.77,26687.77,25471.107,24108.367,24923.968,21066.752,21423.948,20874.156,20589.356,20513.678,21447.075,22163.634,21344.604,24906.954,26629.366,29946.148,30411.565,32664.822,32674.768,31007.821,32520.019,16810.944,27458.754,23054.535,20273.576,21709.868,21520.749,23949.326,26181.87,23407.069,16564.823,22013.22,21404.873,24196.485,26456.471,28508.339,29958.748,30828.981,31768.728,32791.262
Lithuania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6856.029,7403.433,8217.217,8995.94,9083.331,9700.384,10653.416,11642.429,13233.808,14645.989,16540.501,18609.321,21490.307,22709.368,19676.044,20673.11,22884.952,24703.756,26721.624,28184.354,28842.241,30922.105,33826.609,36328.241,38763.92,39255.637,43542.983,47353.864,47905.623,50600.265,53235.314,55965.162,58761.032,61694.343,64792.937
Luxembourg,15915.377,17507.306,18766.959,19869.758,21542.899,23422.975,26158.684,27685.657,30821.766,34824.128,37620.916,41687.986,42827.453,45041.45,47075.112,48522.074,49440.169,52601.357,55948.196,60754.816,66412.5,69134.633,71657.348,74266.589,78319.784,81667.933,87748.443,95972.293,95993.23,91620.212,94572.598,95683.387,97749.702,102120.165,106564.111,109154.529,114497.537,116621.216,118473.079,121573.272,119676.861,132314.409,141211.914,141380.017,143742.69,147576.313,151125.669,154493.172,157899.307,161389.081
Macao SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,36021.582,39459.78,44302.736,55621.989,59229.092,65300.145,73258.287,75641.221,78087.446,97066.151,119402.985,129875.833,145946.787,141806.572,108260.128,109178.17,120112.544,127932.592,124470.374,57293.808,74012.307,63230.776,116846.707,134140.929,147351.27,154461.335,160526.341,166934.366,174108.653
Madagascar,1021.741,982.475,996.655,1017.729,1045.015,1062.064,1075.852,1086.351,1132.625,1193.029,1243.088,1172.662,1181.875,1203.142,1192.425,1201.688,1213.524,1242.64,1267.673,1306.693,1355.062,1425.525,1230.997,1337.86,1403.802,1472.361,1552.959,1636.849,1728.351,1621.027,1602.649,1612.983,1591.174,1591.885,1608.704,1595.078,1652.184,1624.661,1665.737,1711.688,1562.495,1676.541,1815.884,1900.754,1979.173,2049.752,2127.396,2205.953,2285.268,2367.91
Malawi,502.473,506.886,537.823,563.787,594.547,613.654,591.42,579.318,582.57,582.955,615.544,675.984,633.019,706.65,642.934,737.866,810.333,857.233,852.326,870.988,875.576,839.807,836.05,881.578,933.941,975.065,1023.295,1120.247,1195.393,1266.459,1331.616,1385.168,1347.724,1444.805,1405.803,1332.538,1347.139,1357.06,1408.544,1467.939,1458.881,1550.787,1626.413,1664.726,1711.837,1757.613,1815.455,1878.865,1946.389,2016.744
Malaysia,3337.923,3813.151,4182.526,4505.786,4908.231,4862.251,4883.391,5140.07,5708.566,6316.985,6846.771,7637.189,8273.261,9053.884,9828.157,10732.734,11716.028,12470.107,11387.176,11948.186,12947.445,12960.79,13533.125,14257.298,15280.589,16186.67,17384.819,18792.514,19716.344,19202.29,20528.452,21701.738,22963.302,23224.571,24273.001,24074.09,24779.859,25897.244,27464.961,29032.27,27875.622,29995.873,34804.036,36939.678,39029.52,40983.751,43109.688,45169.314,47351.088,49671.248
Maldives,1796.988,2042.045,2259.062,2364.644,2777.73,3136.304,3346.457,3638.837,3991.945,4419.082,4233.667,4467.95,4731.909,4970.228,5315.502,5718.76,6217.103,6974.693,7584.806,8083.633,8529.879,8660.08,9178.824,10515.456,11274.896,10173.452,12736.357,13742.026,15032.491,13662.031,14529.44,15834.725,16435.788,18250.006,20337.738,21931.337,23409.634,24927.362,27251.234,29240.192,19548.556,27685.313,33198.573,35338.033,37433.014,39901.142,41981.239,44087.034,46166.525,48353.775
Mali,520.834,532.634,489.561,513.965,534.112,557.921,593.248,612.746,624.153,705.162,784.384,856.068,844.626,876.98,910.107,936.848,1002.164,1044.893,1060.806,1111.96,1103.886,1263.544,1282.213,1381.733,1394.709,1482.617,1547.58,1591.606,1644.78,1676.869,1731.921,1766.843,1706.679,1753.88,1847.964,1957.014,2103.011,2153.805,2235.601,2308.129,2237.448,2336.097,2506.673,2630.411,2714.175,2796.27,2895.305,2997.985,3104.387,3215.174
Malta,5853.251,6522.8,6891.448,7083.522,7457.901,7811.749,8055.655,8664.149,9515.834,10489.19,11277.886,12024.771,13151.677,13854.585,14654.913,15850.742,16698.952,17669.954,18343.015,19194.018,19316.174,19386.635,20027.885,21113.298,21571.826,22841.073,23997.572,25785.303,27139.413,26793.889,28408.568,29062.601,30423.681,32560.229,34754.607,37922.113,40137.463,44868.046,47703.238,50079.515,44699.677,52442.799,60101.147,63230.452,67681.639,71277.448,74863.524,78553.813,82455.063,86548.502
